soc_code,pct_tasks_automation,pct_tasks_augmentation,diff_extensive,mean_automation,mean_augmentation,diff_intensive,occupation,two_digit_soc_code,total_employment,median_wage,educationcode,degfield_1,degree_share_1,degfield_2,degree_share_2,degfield_3,degree_share_3,related_soc_code_1,relatedness_score_1,related_soc_code_2,relatedness_score_2,related_soc_code_3,relatedness_score_3,ranking
"49-2098",.0714286,.0714286,0,3.741497,3.40136,.3401365,"Security and Fire Alarm Systems Installers","Installation, Maintenance, and Repair",81510,59300,"HS diploma or equivalent","business",.2360962,"engineering",.1184069,"computer and information sciences",.1002272,"27-4015",2.476232,"49-2096",2.461773,"49-2093",2.434966,41
"49-3011",0,0,0,0,0,0,"Aircraft Mechanics and Service Technicians","Installation, Maintenance, and Repair",136390,78680,"Postsecondary nondegree award","business",.2274656,"transportation sciences and technologies",.1784114,"engineering",.1489868,"51-2011",3.367041,"49-2091",3.351739,"53-6032",3.058012,100
"49-3021",0,0,0,0,0,0,"Automotive Body and Related Repairers","Installation, Maintenance, and Repair",155220,51680,"HS diploma or equivalent","business",.2294324,"psychology",.0822703,"engineering",.0787576,"49-3023",2.685212,"49-3043",2.62437,"51-9124",2.521768,100
"49-3022",0,0,0,0,0,0,"Automotive Glass Installers and Repairers","Installation, Maintenance, and Repair",18940,47260,"HS diploma or equivalent","psychology",.2131324,"fine arts",.1689989,"business",.1571582,"47-2121",2.791721,"49-3021",2.363489,"49-3023",2.259896,100
"49-3023",0,0,0,0,0,0,"Automotive Service Technicians and Mechanics","Installation, Maintenance, and Repair",688840,49670,"Postsecondary nondegree award","business",.2140552,"engineering",.1933662,"social sciences",.0549967,"49-3043",3.093606,"49-3031",3.058106,"49-2092",2.921585,100
"49-3031",.05,.05,0,1.818182,3.181818,-1.363636,"Bus and Truck Mechanics and Diesel Engine Specialists","Installation, Maintenance, and Repair",287230,60640,"HS diploma or equivalent","business",.2159765,"engineering",.1843447,"education administration and teaching",.0645905,"49-3042",3.185668,"49-3043",3.100267,"49-3023",3.058106,48
"49-3041",0,0,0,0,0,0,"Farm Equipment Mechanics and Service Technicians","Installation, Maintenance, and Repair",36880,52080,"HS diploma or equivalent","engineering",.2261516,"business",.1624048,"engineering technologies",.0609358,"49-3042",2.972085,"49-9041",2.908367,"49-9044",2.838592,100
"49-3042",0,.0526316,-.0526316,0,5.263158,-5.263158,"Mobile Heavy Equipment Mechanics, Except Engines","Installation, Maintenance, and Repair",180270,63980,"HS diploma or equivalent","engineering",.2261516,"business",.1624048,"engineering technologies",.0609358,"49-9041",3.228153,"49-3031",3.185668,"49-9043",3.119877,100
"49-3043",0,0,0,0,0,0,"Rail Car Repairers","Installation, Maintenance, and Repair",18300,65680,"HS diploma or equivalent","engineering",.2261516,"business",.1624048,"engineering technologies",.0609358,"49-3031",3.100267,"49-3023",3.093606,"49-3042",3.052244,100
"49-3051",0,0,0,0,0,0,"Motorboat Mechanics and Service Technicians","Installation, Maintenance, and Repair",24250,54950,"HS diploma or equivalent","business",.2832988,"engineering",.1300897,"criminal justice and fire protection",.0959282,"49-3031",3.051108,"49-3052",2.887933,"49-2092",2.873774,100
"49-3052",0,0,0,0,0,0,"Motorcycle Mechanics","Installation, Maintenance, and Repair",14010,47200,"Postsecondary nondegree award","business",.2832988,"engineering",.1300897,"criminal justice and fire protection",.0959282,"49-3091",3.0344,"49-3053",2.949477,"49-3051",2.887933,100
"49-3053",0,0,0,0,0,0,"Outdoor Power Equipment and Other Small Engine Mechanics","Installation, Maintenance, and Repair",34240,46560,"HS diploma or equivalent","business",.2832988,"engineering",.1300897,"criminal justice and fire protection",.0959282,"49-3052",2.949477,"49-3031",2.933828,"49-2092",2.914051,100
"49-3091",0,0,0,0,0,0,"Bicycle Repairers","Installation, Maintenance, and Repair",12590,40360,"HS diploma or equivalent","business",.2567358,"engineering",.1400762,"social sciences",.0956411,"49-3052",3.0344,"49-3053",2.3347,"49-3093",2.28153,100
"49-3092",0,0,0,0,0,0,"Recreational Vehicle Service Technicians","Installation, Maintenance, and Repair",18710,50540,"HS diploma or equivalent","business",.2567358,"engineering",.1400762,"social sciences",.0956411,"49-3051",2.319432,"49-3052",2.306621,"49-3031",2.252942,100
"49-3093",0,0,0,0,0,0,"Tire Repairers and Changers","Installation, Maintenance, and Repair",106620,37120,"HS diploma or equivalent","business",.2567358,"engineering",.1400762,"social sciences",.0956411,"51-9197",3.373959,"49-3052",2.452993,"49-3023",2.432685,100
"49-9011",0,0,0,0,0,0,"Mechanical Door Repairers","Installation, Maintenance, and Repair",27970,51050,"HS diploma or equivalent","business",.3069711,"engineering technologies",.0876478,"physical fitness, parks, recreation, and leisure",.0709336,"47-2121",2.349131,"47-4021",2.341152,"47-2031",2.315003,100
"49-9012",0,0,0,0,0,0,"Control and Valve Installers and Repairers, Except Mechanical Door","Installation, Maintenance, and Repair",46920,74690,"HS diploma or equivalent","business",.3069711,"engineering technologies",.0876478,"physical fitness, parks, recreation, and leisure",.0709336,"49-2092",3.228084,"49-9041",3.080098,"51-2031",3.036057,100
"49-9021",.0208333,.0208333,0,.9765625,1.106771,-.1302084,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Installation, Maintenance, and Repair",396870,59810,"Postsecondary nondegree award","business",.2291854,"engineering",.172417,"social sciences",.0634452,"51-8021",2.92874,"49-9012",2.810989,"47-2152",2.769012,52
"49-9031",0,0,0,0,0,0,"Home Appliance Repairers","Installation, Maintenance, and Repair",31940,49410,"HS diploma or equivalent","business",.2451025,"engineering",.2066059,"social sciences",.1205011,"49-9021",2.724705,"49-2092",2.643522,"49-9012",2.469548,100
"49-9041",.0666667,.0666667,0,3.983051,2.683616,1.299435,"Industrial Machinery Mechanics","Installation, Maintenance, and Repair",421940,63760,"HS diploma or equivalent","engineering",.2637352,"business",.1960485,"engineering technologies",.0671881,"49-9043",3.692885,"51-4081",3.317716,"49-2092",3.282618,43
"49-9043",0,0,0,0,0,0,"Maintenance Workers, Machinery","Installation, Maintenance, and Repair",56540,60500,"HS diploma or equivalent","engineering",.1879648,"physical sciences",.1561866,"business",.1555105,"49-9041",3.692885,"51-4033",3.160008,"49-3042",3.119877,100
"49-9044",0,0,0,0,0,0,"Millwrights","Installation, Maintenance, and Repair",40660,65170,"HS diploma or equivalent","business",.2306403,"engineering",.1666108,"education administration and teaching",.063359,"51-2011",3.212473,"49-9041",3.160443,"51-2031",3.12071,100
"49-9045",0,0,0,0,0,0,"Refractory Materials Repairers, Except Brickmasons","Installation, Maintenance, and Repair",1100,58540,"HS diploma or equivalent",,,,,,,"47-2021",3.101946,"47-3011",2.904086,"51-4071",2.690859,100
"49-9051",0,0,0,0,0,0,"Electrical Power-Line Installers and Repairers","Installation, Maintenance, and Repair",123680,92560,"HS diploma or equivalent","business",.2447704,"engineering",.1308521,"social sciences",.0650186,"49-9052",2.91584,"47-3013",2.786981,"47-2111",2.733154,100
"49-9052",0,0,0,0,0,0,"Telecommunications Line Installers and Repairers","Installation, Maintenance, and Repair",98360,70500,"HS diploma or equivalent","business",.2394012,"engineering",.0960186,"social sciences",.0896948,"49-2022",3.048459,"49-9051",2.91584,"49-2021",2.559287,100
"49-9061",0,.2,-.2,0,20,-20,"Camera and Photographic Equipment Repairers","Installation, Maintenance, and Repair",2010,49300,"HS diploma or equivalent","fine arts",.1593154,"engineering",.145819,"business",.1401907,"51-9151",2.891448,"51-9083",2.676118,"17-3028",2.660624,100
"49-9062",0,0,0,0,0,0,"Medical Equipment Repairers","Installation, Maintenance, and Repair",60830,62630,"Associates degree","fine arts",.1593154,"engineering",.145819,"business",.1401907,"17-3028",2.888931,"17-3023",2.795104,"17-3021",2.784973,100
"49-9063",0,0,0,0,0,0,"Musical Instrument Repairers and Tuners","Installation, Maintenance, and Repair",5730,45320,"HS diploma or equivalent","fine arts",.1593154,"engineering",.145819,"business",.1401907,"49-2092",2.170171,"51-2061",2.168941,"49-9064",2.051806,100
"49-9064",0,0,0,0,0,0,"Watch and Clock Repairers","Installation, Maintenance, and Repair",1300,60690,"HS diploma or equivalent","fine arts",.1593154,"engineering",.145819,"business",.1401907,"51-2061",3.200181,"49-2092",2.269083,"51-4033",2.148366,100
"49-9071",0,0,0,0,0,0,"Maintenance and Repair Workers, General","Installation, Maintenance, and Repair",1531700,48620,"HS diploma or equivalent","business",.1858664,"engineering",.1684769,"social sciences",.0569084,"49-9044",3.116866,"51-2011",2.901981,"49-3042",2.810473,100
"49-9081",0,0,0,0,0,0,"Wind Turbine Service Technicians","Installation, Maintenance, and Repair",11220,62580,"Postsecondary nondegree award",,,,,,,"51-8013",2.851709,"49-9099",2.78149,"51-8021",2.672203,100
"49-9091",0,0,0,0,0,0,"Coin, Vending, and Amusement Machine Servicers and Repairers","Installation, Maintenance, and Repair",28260,47350,"HS diploma or equivalent","business",.2740128,"computer and information sciences",.0683031,"education administration and teaching",.0645678,"49-2011",2.487855,"49-9041",2.46824,"49-9043",2.46475,100
"49-9092",0,0,0,0,0,0,"Commercial Divers","Installation, Maintenance, and Repair",3430,61130,"Postsecondary nondegree award",,,,,,,"49-9096",2.008394,"53-5011",1.859393,"53-5031",1.835521,100
"49-9094",0,0,0,0,0,0,"Locksmiths and Safe Repairers","Installation, Maintenance, and Repair",15550,50490,"HS diploma or equivalent","business",.2707717,"social sciences",.1500403,"engineering",.1091691,"49-9011",2.305268,"49-9098",2.051769,"47-3013",2.010572,100
"49-9095",0,0,0,0,0,0,"Manufactured Building and Mobile Home Installers","Installation, Maintenance, and Repair",2610,41080,"HS diploma or equivalent",,,,,,,"49-9071",2.414252,"47-2031",2.375573,"49-9044",2.367772,100
"49-9096",0,0,0,0,0,0,"Riggers","Installation, Maintenance, and Repair",24190,62060,"HS diploma or equivalent","fine arts",.1303538,"business",.122905,"psychology",.0931099,"53-7041",3.395811,"53-7051",2.861907,"49-9044",2.854623,100
"49-9097",0,0,0,0,0,0,"Signal and Track Switch Repairers","Installation, Maintenance, and Repair",8210,83600,"HS diploma or equivalent",,,,,,,"49-2095",2.55519,"49-2093",2.517217,"49-9051",2.498248,100
"49-9098",0,0,0,0,0,0,"Helpers--Installation, Maintenance, and Repair Workers","Installation, Maintenance, and Repair",97540,38860,"HS diploma or equivalent","business",.245131,"engineering",.1390195,"computer and information sciences",.1141706,"51-9198",3.621611,"47-3015",3.413183,"47-3013",3.278018,100
"49-9099",0,0,0,0,0,0,"Installation, Maintenance, and Repair Workers, All Other","Installation, Maintenance, and Repair",183690,48640,"HS diploma or equivalent","business",.2352708,"engineering",.1312913,"fine arts",.0712559,"51-8013",3.107121,"51-8021",2.953161,"51-8012",2.786634,100
"51-1011",0,0,0,0,0,0,"First-Line Supervisors of Production and Operating Workers","Production",685140,71190,"HS diploma or equivalent","business",.271731,"engineering",.1699562,"education administration and teaching",.0562212,"49-1011",3.346818,"53-1047",2.776622,"45-1011",2.758984,100
"51-2011",0,0,0,0,0,0,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","Production",32890,61680,"HS diploma or equivalent",,,,,,,"51-2031",3.745137,"51-2028",3.475919,"51-4192",3.474514,100
"51-2021",0,0,0,0,0,0,"Coil Winders, Tapers, and Finishers","Production",12170,47260,"HS diploma or equivalent","business",.2135271,"engineering",.1426629,"fine arts",.0751126,"51-4034",3.060501,"51-4122",3.039936,"49-2092",3.018141,100
"51-2031",.1111111,.1111111,0,3.274854,7.836257,-4.561403,"Engine and Other Machine Assemblers","Production",38420,52540,"HS diploma or equivalent","business",.2917847,"computer and information sciences",.0878187,"theology and religious vocations",.0864023,"51-2011",3.745137,"51-2028",3.475759,"49-2092",3.403821,32
"51-2041",0,0,0,0,0,0,"Structural Metal Fabricators and Fitters","Production",53380,49900,"HS diploma or equivalent","business",.1932555,"education administration and teaching",.1456982,"engineering",.0959793,"47-2221",3.540477,"51-4192",3.498742,"51-2011",3.42309,100
"51-3011",0,0,0,0,0,0,"Bakers","Production",231890,36650,"No formal education","business",.2050491,"fine arts",.1134225,"education administration and teaching",.0847794,"51-3092",2.968293,"35-2014",2.697479,"51-3093",2.637393,100
"51-3021",0,0,0,0,0,0,"Butchers and Meat Cutters","Production",140040,38960,"No formal education","business",.2219846,"education administration and teaching",.074555,"social sciences",.0705828,"51-3022",2.712113,"35-2014",2.621699,"35-2021",2.522306,100
"51-3022",0,0,0,0,0,0,"Meat, Poultry, and Fish Cutters and Trimmers","Production",141090,37700,"No formal education","business",.2219846,"education administration and teaching",.074555,"social sciences",.0705828,"51-3023",3.116662,"51-3021",2.712113,"45-2041",2.652308,100
"51-3023",0,0,0,0,0,0,"Slaughterers and Meat Packers","Production",67500,39790,"No formal education","business",.2219846,"education administration and teaching",.074555,"social sciences",.0705828,"51-3022",3.116662,"51-3021",2.511864,"45-2093",2.072219,100
"51-3091",0,0,0,0,0,0,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","Production",19500,42730,"No formal education","business",.1514894,"social sciences",.1153191,"psychology",.0940426,"51-3092",3.14262,"51-3093",3.09992,"51-9012",2.960055,100
"51-3092",0,0,0,0,0,0,"Food Batchmakers","Production",171660,40790,"HS diploma or equivalent","business",.1771136,"fine arts",.1552499,"education administration and teaching",.1125804,"51-3093",3.155852,"51-3091",3.14262,"51-9023",3.111833,100
"51-3093",0,0,0,0,0,0,"Food Cooking Machine Operators and Tenders","Production",27660,40550,"HS diploma or equivalent","medical and health sciences and services",.1597884,"physical fitness, parks, recreation, and leisure",.1238095,"business",.1132275,"51-3092",3.155852,"51-3091",3.09992,"51-9012",2.794044,100
"51-4021",0,0,0,0,0,0,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","Production",65700,46980,"HS diploma or equivalent","business",.1483871,"medical and health sciences and services",.1043988,"computer and information sciences",.1002933,"51-6091",3.447098,"51-4072",3.26761,"51-4031",3.179502,100
"51-4022",0,0,0,0,0,0,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic","Production",8760,49240,"HS diploma or equivalent","business",.1483871,"medical and health sciences and services",.1043988,"computer and information sciences",.1002933,"51-4034",3.303298,"51-4031",3.299695,"51-7042",3.292306,100
"51-4023",0,0,0,0,0,0,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","Production",22350,48630,"HS diploma or equivalent","business",.1483871,"medical and health sciences and services",.1043988,"computer and information sciences",.1002933,"51-9032",3.378317,"51-4031",3.374472,"51-4034",3.332237,100
"51-4031",0,0,0,0,0,0,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","Production",174430,45590,"HS diploma or equivalent","business",.2687339,"engineering",.1234568,"engineering technologies",.0591444,"51-9032",3.57041,"51-7042",3.528307,"51-4034",3.451847,100
"51-4032",0,0,0,0,0,0,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Production",5310,46630,"HS diploma or equivalent",,,,,,,"51-4035",3.438922,"51-4034",3.413295,"51-7042",3.256555,100
"51-4033",0,0,0,0,0,0,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Production",70110,45190,"HS diploma or equivalent","engineering",.2040745,"business",.1924833,"engineering technologies",.0691956,"51-9022",3.919991,"51-4194",3.911971,"51-4034",3.658046,100
"51-4034",0,0,0,0,0,0,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Production",18970,48620,"HS diploma or equivalent",,,,,,,"51-4035",3.823084,"51-4081",3.697567,"51-7042",3.677379,100
"51-4035",0,0,0,0,0,0,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic","Production",13810,48310,"HS diploma or equivalent",,,,,,,"51-4034",3.823084,"51-7042",3.634579,"51-4033",3.633467,100
"51-4041",.047619,.047619,0,2.017756,2.744149,-.7263925,"Machinists","Production",298790,56150,"HS diploma or equivalent","engineering",.1924733,"business",.1911976,"education administration and teaching",.0600648,"51-9161",3.382569,"51-4035",3.285695,"51-4111",3.195451,48
"51-4051",0,0,0,0,0,0,"Metal-Refining Furnace Operators and Tenders","Production",20330,55770,"HS diploma or equivalent","business",.3305085,"engineering",.1733436,"education administration and teaching",.0862866,"51-4191",3.479886,"51-9051",3.106698,"51-9012",2.930202,100
"51-4052",0,0,0,0,0,0,"Pourers and Casters, Metal","Production",5830,48940,"HS diploma or equivalent","business",.3305085,"engineering",.1733436,"education administration and teaching",.0862866,"51-4051",2.676136,"51-4193",2.673931,"51-4022",2.642662,100
"51-4061",0,0,0,0,0,0,"Model Makers, Metal and Plastic","Production",3230,62700,"HS diploma or equivalent","business",.2719076,"engineering",.1239786,"fine arts",.0760778,"51-4111",3.301523,"51-4192",3.223536,"51-2011",3.103185,100
"51-4062",0,0,0,0,0,0,"Patternmakers, Metal and Plastic","Production",1570,54540,"HS diploma or equivalent",,,,,,,"51-6092",3.559159,"51-7032",3.434429,"51-4111",3.248496,100
"51-4071",0,0,0,0,0,0,"Foundry Mold and Coremakers","Production",12720,45700,"HS diploma or equivalent",,,,,,,"51-4072",2.866832,"51-2051",2.841909,"51-9022",2.813156,100
"51-4072",0,0,0,0,0,0,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","Production",154820,41230,"HS diploma or equivalent",,,,,,,"51-4021",3.26761,"51-6091",3.199396,"51-4081",3.192775,100
"51-4081",.0588235,.0588235,0,3.124672,2.757681,.3669918,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Production",129850,46060,"HS diploma or equivalent",,,,,,,"51-4034",3.697567,"51-4035",3.584709,"51-4033",3.503541,45
"51-4111",0,0,0,0,0,0,"Tool and Die Makers","Production",55130,63180,"Postsecondary nondegree award","business",.2100186,"engineering",.1410019,"engineering technologies",.0886827,"51-4031",3.403991,"51-4194",3.388282,"51-4034",3.312163,100
"51-4121",0,0,0,0,0,0,"Welders, Cutters, Solderers, and Brazers","Production",424040,51000,"HS diploma or equivalent","business",.2035896,"engineering",.1318449,"education administration and teaching",.058031,"51-4122",3.738979,"51-2041",3.10778,"47-2011",3.051571,100
"51-4122",0,0,0,0,0,0,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","Production",36290,47060,"HS diploma or equivalent","business",.2035896,"engineering",.1318449,"education administration and teaching",.058031,"51-4121",3.738979,"51-4035",3.248415,"51-2011",3.243009,100
"51-4191",0,0,0,0,0,0,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic","Production",14590,47450,"HS diploma or equivalent",,,,,,,"51-4051",3.479886,"51-9051",3.062095,"51-4072",3.014741,100
"51-4192",0,0,0,0,0,0,"Layout Workers, Metal and Plastic","Production",5610,61870,"HS diploma or equivalent",,,,,,,"51-2041",3.498742,"51-2011",3.474514,"51-4062",3.237453,100
"51-4193",0,0,0,0,0,0,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic","Production",31510,41600,"HS diploma or equivalent",,,,,,,"51-4122",2.997297,"51-4191",2.905916,"51-9124",2.890368,100
"51-4194",0,0,0,0,0,0,"Tool Grinders, Filers, and Sharpeners","Production",5730,48970,"HS diploma or equivalent",,,,,,,"51-4033",3.911971,"51-9022",3.751741,"51-4034",3.603438,100
"51-5111",.6666667,.3333333,.3333333,56.66667,10,46.66667,"Prepress Technicians and Workers","Production",23070,47300,"Postsecondary nondegree award","fine arts",.3923739,"business",.130557,"social sciences",.0729222,"51-9151",2.949059,"51-5112",2.714998,"51-9194",2.617119,1
"51-5112",0,0,0,0,0,0,"Printing Press Operators","Production",145110,45160,"HS diploma or equivalent","fine arts",.2282995,"business",.2172884,"engineering",.0754824,"51-9196",2.862131,"51-5111",2.714998,"51-9151",2.63186,100
"51-5113",0,0,0,0,0,0,"Print Binding and Finishing Workers","Production",36470,39820,"HS diploma or equivalent","business",.2639885,"fine arts",.1578192,"social sciences",.1241033,"51-9196",2.945565,"51-9032",2.76402,"51-6031",2.736598,100
"51-6011",0,0,0,0,0,0,"Laundry and Dry-Cleaning Workers","Production",195360,33800,"No formal education","business",.222631,"education administration and teaching",.1168342,"engineering",.0651472,"53-7061",3.048449,"51-6021",3.006572,"51-9192",2.931388,100
"51-6021",0,0,0,0,0,0,"Pressers, Textile, Garment, and Related Materials","Production",26830,33880,"No formal education","education administration and teaching",.2094508,"business",.1302682,"medical and health sciences and services",.1245211,"51-6031",3.28405,"51-6011",3.006572,"51-9196",2.704263,100
"51-6031",0,0,0,0,0,0,"Sewing Machine Operators","Production",109590,36000,"No formal education","business",.1917396,"fine arts",.1661183,"education administration and teaching",.1217361,"51-6042",3.488332,"51-6021",3.28405,"51-9031",3.229213,100
"51-6041",0,0,0,0,0,0,"Shoe and Leather Workers and Repairers","Production",7640,35950,"HS diploma or equivalent","business",.1947627,"fine arts",.1423895,"engineering",.1249318,"51-6042",3.147538,"51-6051",2.99431,"51-6031",2.729576,100
"51-6042",0,0,0,0,0,0,"Shoe Machine Operators and Tenders","Production",3270,38160,"HS diploma or equivalent","business",.1947627,"fine arts",.1423895,"engineering",.1249318,"51-6031",3.488332,"51-7042",3.227368,"51-9032",3.219236,100
"51-6051",0,0,0,0,0,0,"Sewers, Hand","Production",2240,33760,"No formal education","fine arts",.1894772,"business",.1779278,"education administration and teaching",.1448976,"51-6052",3.177588,"51-6031",3.031196,"51-6041",2.99431,100
"51-6052",.0454545,.0454545,0,2.073096,2.472359,-.3992629,"Tailors, Dressmakers, and Custom Sewers","Production",16290,40860,"No formal education","fine arts",.1894772,"business",.1779278,"education administration and teaching",.1448976,"51-6051",3.177588,"51-6031",2.717805,"51-6092",2.688228,49
"51-6061",0,0,0,0,0,0,"Textile Bleaching and Dyeing Machine Operators and Tenders","Production",5820,37320,"HS diploma or equivalent","fine arts",.1248,"english language, literature, and composition",.1029333,"education administration and teaching",.1018667,"51-9192",3.036822,"51-9191",2.958855,"53-7063",2.89336,100
"51-6062",0,0,0,0,0,0,"Textile Cutting Machine Setters, Operators, and Tenders","Production",8960,37940,"HS diploma or equivalent","fine arts",.1248,"english language, literature, and composition",.1029333,"education administration and teaching",.1018667,"51-9032",3.608691,"51-9196",3.336627,"51-7042",3.297304,100
"51-6063",0,0,0,0,0,0,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders","Production",14530,38260,"HS diploma or equivalent","fine arts",.1248,"english language, literature, and composition",.1029333,"education administration and teaching",.1018667,"51-6064",3.078467,"51-6031",3.065755,"51-6062",2.829561,100
"51-6064",0,0,0,0,0,0,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","Production",20600,37660,"HS diploma or equivalent","fine arts",.1248,"english language, literature, and composition",.1029333,"education administration and teaching",.1018667,"51-6063",3.078467,"51-9196",3.040715,"51-9032",2.977755,100
"51-6091",0,0,0,0,0,0,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","Production",14900,44980,"HS diploma or equivalent",,,,,,,"51-4021",3.447098,"51-9041",3.34869,"51-9196",3.248813,100
"51-6092",0,0,0,0,0,0,"Fabric and Apparel Patternmakers","Production",2860,67670,"HS diploma or equivalent",,,,,,,"51-4062",3.559159,"51-6051",2.913492,"51-7032",2.842245,100
"51-6093",0,0,0,0,0,0,"Upholsterers","Production",20990,46190,"HS diploma or equivalent","business",.2243108,"education administration and teaching",.0952381,"physical sciences",.0906433,"51-7021",2.97432,"51-7011",2.770447,"51-6041",2.621821,100
"51-7011",0,0,0,0,0,0,"Cabinetmakers and Bench Carpenters","Production",79540,46020,"HS diploma or equivalent","business",.2079726,"fine arts",.1199495,"education administration and teaching",.0878427,"51-7031",3.181554,"51-7042",3.003062,"51-7021",2.987465,100
"51-7021",0,0,0,0,0,0,"Furniture Finishers","Production",14230,42530,"HS diploma or equivalent","fine arts",.214876,"business",.2082645,"engineering",.0782369,"51-9123",3.10261,"51-9022",3.013647,"51-7011",2.987465,100
"51-7031",0,0,0,0,0,0,"Model Makers, Wood","Production",360,51850,"HS diploma or equivalent",,,,,,,"51-7011",3.181554,"51-4061",2.977096,"51-4192",2.850455,100
"51-7032",.0625,.0625,0,4.40896,2.257707,2.151253,"Patternmakers, Wood","Production",180,52520,"HS diploma or equivalent",,,,,,,"51-4062",3.434429,"51-4192",2.999292,"51-7031",2.845918,44
"51-7041",0,0,0,0,0,0,"Sawing Machine Setters, Operators, and Tenders, Wood","Production",43140,39950,"HS diploma or equivalent","business",.2573529,"education administration and teaching",.125,"social sciences",.0735294,"51-7042",3.711868,"51-9032",3.424338,"51-4034",3.280664,100
"51-7042",0,0,0,0,0,0,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing","Production",63350,40440,"HS diploma or equivalent","business",.2309013,"social sciences",.1776824,"education administration and teaching",.1390558,"51-7041",3.711868,"51-9032",3.690413,"51-4034",3.677379,100
"51-8011",0,0,0,0,0,0,"Nuclear Power Reactor Operators","Production",5720,122610,"HS diploma or equivalent","engineering",.2526993,"business",.2053903,"engineering technologies",.0950301,"17-2161",3.10192,"19-4051",2.78089,"51-8013",2.465431,100
"51-8012",0,0,0,0,0,0,"Power Distributors and Dispatchers","Production",9180,107240,"HS diploma or equivalent","engineering",.2526993,"business",.2053903,"engineering technologies",.0950301,"49-2095",2.891044,"51-8013",2.869593,"51-8021",2.821018,100
"51-8013",.0666667,0,.0666667,7.142857,0,7.142857,"Power Plant Operators","Production",30720,99670,"HS diploma or equivalent","engineering",.2526993,"business",.2053903,"engineering technologies",.0950301,"51-8021",3.112603,"49-9099",3.107121,"51-8092",3.033277,43
"51-8021",0,0,0,0,0,0,"Stationary Engineers and Boiler Operators","Production",30780,75190,"HS diploma or equivalent","engineering",.5066951,"business",.1274114,"computer and information sciences",.0713994,"51-8013",3.112603,"49-9012",3.021546,"53-7071",3.002041,100
"51-8031",0,0,0,0,0,0,"Water and Wastewater Treatment Plant and System Operators","Production",126750,58260,"HS diploma or equivalent","business",.1771839,"biology and life sciences",.1328585,"environment and natural resources",.1193784,"51-8091",3.039269,"51-8013",2.924917,"51-9012",2.752392,100
"51-8091",0,0,0,0,0,0,"Chemical Plant and System Operators","Production",17840,73540,"HS diploma or equivalent","business",.2162123,"engineering",.1814095,"agriculture",.0767111,"51-9011",3.303453,"51-9012",3.078261,"51-8031",3.039269,100
"51-8092",0,.0769231,-.0769231,0,7.692307,-7.692307,"Gas Plant Operators","Production",15910,83400,"HS diploma or equivalent","business",.2162123,"engineering",.1814095,"agriculture",.0767111,"51-8093",3.167212,"53-7071",3.14875,"51-8013",3.033277,100
"51-8093",0,0,0,0,0,0,"Petroleum Pump System Operators, Refinery Operators, and Gaugers","Production",34860,97540,"HS diploma or equivalent","business",.2162123,"engineering",.1814095,"agriculture",.0767111,"51-8092",3.167212,"53-7071",3.129431,"53-7073",3.093834,100
"51-8099",.0147059,.0147059,0,.5110555,.9595328,-.4484773,"Plant and System Operators, All Other","Production",15950,61710,"HS diploma or equivalent","business",.2162123,"engineering",.1814095,"agriculture",.0767111,"51-8013",2.808687,"51-8093",2.733781,"51-8091",2.732373,52
"51-9011",0,0,0,0,0,0,"Chemical Equipment Operators and Tenders","Production",127410,57090,"HS diploma or equivalent","business",.1509552,"biology and life sciences",.0989203,"engineering",.0879983,"51-8091",3.303453,"51-9012",3.16112,"51-4191",2.76534,100
"51-9012",0,0,0,0,0,0,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","Production",54200,49500,"HS diploma or equivalent","business",.1509551,"biology and life sciences",.0989203,"engineering",.0879983,"51-9192",3.376297,"51-9023",3.239842,"51-9011",3.16112,100
"51-9021",.0666667,0,.0666667,7.142857,0,7.142857,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders","Production",28550,46890,"HS diploma or equivalent","business",.1878682,"social sciences",.1154275,"biology and life sciences",.0929788,"51-9022",3.457801,"51-4033",3.429976,"53-7063",3.28897,43
